251 x:345 y:192
251 x:242 y:178
252 x:347 y:193
252 x:244 y:179
253 x:347 y:193
253 x:244 y:179
268 x:371 y:197
268 x:269 y:182
269 x:371 y:197
269 x:269 y:182
270 x:371 y:197
270 x:269 y:182
271 x:374 y:197
271 x:271 y:182
272 x:374 y:197
272 x:271 y:182
273 x:378 y:198
273 x:275 y:183
274 x:381 y:200
274 x:279 y:185
275 x:381 y:200
275 x:279 y:185
276 x:384 y:201
276 x:281 y:186
277 x:384 y:201
277 x:281 y:186
278 x:386 y:202
278 x:283 y:187
279 x:386 y:202
279 x:283 y:187
280 x:386 y:202
280 x:283 y:187
281 x:387 y:204
281 x:285 y:189
282 x:387 y:204
282 x:285 y:189
283 x:389 y:204
283 x:286 y:189
284 x:389 y:204
284 x:286 y:189
298 x:389 y:203
298 x:286 y:188
299 x:389 y:203
299 x:286 y:188
300 x:389 y:204
300 x:285 y:189
301 x:389 y:204
301 x:285 y:189
302 x:387 y:204
302 x:284 y:189
303 x:387 y:204
303 x:284 y:189
304 x:387 y:204
304 x:284 y:189
305 x:385 y:203
305 x:282 y:189
306 x:385 y:203
306 x:282 y:189
307 x:383 y:203
307 x:279 y:188
308 x:383 y:203
308 x:279 y:188
309 x:379 y:202
309 x:276 y:187
310 x:374 y:202
310 x:271 y:187
311 x:374 y:202
311 x:271 y:187
312 x:370 y:202
312 x:267 y:187
313 x:370 y:202
313 x:267 y:187
314 x:366 y:202
314 x:264 y:187
315 x:366 y:202
315 x:264 y:187
316 x:366 y:202
316 x:264 y:187
317 x:362 y:202
317 x:259 y:187
318 x:362 y:202
318 x:259 y:187
319 x:355 y:204
319 x:252 y:188
320 x:355 y:204
320 x:252 y:188
321 x:349 y:205
321 x:246 y:189
322 x:347 y:204
322 x:243 y:189
323 x:347 y:204
323 x:243 y:189
324 x:345 y:204
324 x:242 y:188
325 x:345 y:204
325 x:242 y:188
326 x:345 y:203
326 x:241 y:188
327 x:345 y:203
327 x:241 y:188
328 x:345 y:203
328 x:241 y:188
343 x:236 y:192
344 x:236 y:192
345 x:340 y:207
345 x:236 y:192
346 x:339 y:208
346 x:235 y:193
347 x:339 y:208
347 x:235 y:193
348 x:339 y:208
348 x:236 y:193
349 x:339 y:208
349 x:236 y:193
350 x:341 y:208
350 x:237 y:193
351 x:341 y:208
351 x:237 y:193
352 x:341 y:208
352 x:237 y:193
353 x:342 y:208
353 x:238 y:192
354 x:342 y:208
354 x:238 y:192
355 x:345 y:208
355 x:241 y:192
356 x:345 y:208
356 x:241 y:192
357 x:348 y:208
357 x:245 y:193
358 x:352 y:208
358 x:249 y:193
359 x:352 y:208
359 x:249 y:193
360 x:356 y:208
360 x:253 y:193
361 x:356 y:208
361 x:253 y:193
362 x:356 y:208
362 x:253 y:193
363 x:358 y:210
363 x:254 y:194
364 x:358 y:210
364 x:254 y:194
365 x:362 y:211
365 x:258 y:195
366 x:362 y:211
366 x:258 y:195
367 x:367 y:212
367 x:264 y:196
368 x:367 y:212
368 x:264 y:196
369 x:369 y:212
369 x:265 y:196
370 x:370 y:212
370 x:267 y:196
371 x:370 y:212
371 x:267 y:196
372 x:373 y:212
372 x:270 y:195
373 x:373 y:212
373 x:270 y:195
374 x:373 y:212
374 x:270 y:195
389 x:389 y:211
389 x:286 y:196
390 x:389 y:211
390 x:286 y:196
391 x:391 y:212
391 x:288 y:196
392 x:391 y:212
392 x:288 y:196
393 x:393 y:213
393 x:290 y:197
394 x:393 y:214
394 x:290 y:199
395 x:393 y:214
395 x:290 y:199
396 x:393 y:214
396 x:291 y:199
397 x:393 y:214
397 x:291 y:199
398 x:393 y:214
398 x:291 y:199
399 x:395 y:214
399 x:293 y:199
400 x:395 y:214
400 x:293 y:199
401 x:396 y:213
401 x:293 y:198
402 x:396 y:213
402 x:293 y:198
403 x:293 y:198
404 x:293 y:198
418 x:387 y:215
418 x:284 y:200
419 x:387 y:215
419 x:284 y:200
420 x:384 y:215
420 x:281 y:200
421 x:384 y:215
421 x:281 y:200
422 x:384 y:215
422 x:281 y:200
423 x:381 y:215
423 x:278 y:199
424 x:381 y:215
424 x:278 y:199
425 x:378 y:215
425 x:275 y:200
426 x:378 y:215
426 x:275 y:200
427 x:372 y:214
427 x:270 y:199
428 x:372 y:214
428 x:270 y:199
429 x:368 y:213
429 x:265 y:198
430 x:365 y:213
430 x:262 y:198
431 x:365 y:213
431 x:262 y:198
432 x:363 y:215
432 x:260 y:199
433 x:363 y:215
433 x:260 y:199
434 x:363 y:215
434 x:260 y:199
449 x:341 y:222
449 x:238 y:207
450 x:341 y:222
450 x:238 y:207
451 x:340 y:222
451 x:237 y:208
452 x:340 y:222
452 x:237 y:208
453 x:339 y:223
453 x:236 y:207
454 x:339 y:222
454 x:236 y:207
455 x:339 y:222
455 x:236 y:207
456 x:339 y:222
456 x:236 y:207
457 x:339 y:221
457 x:236 y:206
458 x:339 y:221
458 x:236 y:206
459 x:339 y:220
459 x:235 y:205
460 x:339 y:220
460 x:235 y:205
461 x:337 y:218
461 x:234 y:203
462 x:337 y:218
462 x:234 y:203
463 x:337 y:217
463 x:234 y:201
464 x:337 y:217
464 x:234 y:201
465 x:339 y:216
465 x:235 y:200
466 x:340 y:215
466 x:237 y:200
467 x:340 y:215
467 x:237 y:200
468 x:340 y:215
468 x:237 y:200
469 x:342 y:214
469 x:239 y:199
470 x:342 y:214
470 x:239 y:199
471 x:345 y:212
471 x:242 y:197
472 x:345 y:212
472 x:242 y:197
473 x:348 y:211
473 x:245 y:196
474 x:348 y:211
474 x:245 y:196
475 x:352 y:211
475 x:249 y:196
476 x:352 y:211
476 x:249 y:196
477 x:354 y:211
477 x:251 y:196
493 x:365 y:209
493 x:263 y:194
494 x:365 y:209
494 x:263 y:194
495 x:368 y:210
495 x:265 y:194
496 x:368 y:210
496 x:265 y:194
497 x:374 y:211
497 x:271 y:195
498 x:374 y:211
498 x:271 y:195
499 x:377 y:212
499 x:275 y:196
500 x:377 y:212
500 x:275 y:196
501 x:380 y:211
501 x:277 y:196
502 x:382 y:210
502 x:279 y:194
503 x:382 y:210
503 x:279 y:194
504 x:382 y:210
504 x:279 y:194
505 x:383 y:210
505 x:281 y:194
506 x:383 y:210
506 x:281 y:194
507 x:383 y:210
507 x:281 y:194
508 x:383 y:210
508 x:281 y:194
509 x:383 y:210
510 x:383 y:210
511 x:383 y:208
512 x:383 y:208
513 x:382 y:208
514 x:381 y:208
515 x:381 y:208
516 x:381 y:208
517 x:379 y:208
518 x:379 y:208
519 x:377 y:210
520 x:377 y:210
521 x:376 y:210
522 x:376 y:210
523 x:375 y:209
523 x:272 y:193
524 x:375 y:209
524 x:272 y:193
525 x:270 y:192
526 x:270 y:192
527 x:267 y:191
528 x:267 y:191
529 x:266 y:192
530 x:266 y:192
531 x:262 y:192
532 x:262 y:192
533 x:258 y:192
534 x:258 y:192
535 x:254 y:192
536 x:254 y:192
537 x:251 y:193
538 x:251 y:193
539 x:350 y:210
540 x:350 y:210
541 x:347 y:210
542 x:347 y:210
